"|","|__id","|__name","|__members","|__sp","|__buy_average","|__buy_quantity","|__sell_average","|__sell_quantity","|__overall_average","|__overall_quantity"
"111","111","Torstol potion (unf)","True","25","0","0","0","0","0","0"
"113","113","Strength potion(4)","False","14","364","402","354","46","363","448"
"115","115","Strength potion(3)","False","13","0","0","230","123","230","123"
"117","117","Strength potion(2)","False","13","0","0","151","3","151","3"
"119","119","Strength potion(1)","False","11","0","0","71","115","71","115"
"121","121","Attack potion(3)","True","12","0","0","4","176","4","176"
"123","123","Attack potion(2)","True","9","0","0","0","0","0","0"
"125","125","Attack potion(1)","True","6","0","0","0","0","0","0"
"127","127","Restore potion(3)","True","88","63","1","51","2","55","3"
"129","129","Restore potion(2)","True","66","0","0","0","0","0","0"
"131","131","Restore potion(1)","True","44","0","0","0","0","0","0"
"133","133","Defence potion(3)","True","120","0","0","0","0","0","0"
"135","135","Defence potion(2)","True","90","0","0","0","0","0","0"
"137","137","Defence potion(1)","True","60","0","0","0","0","0","0"
"139","139","Prayer potion(3)","True","152","7802","179","7800","236","7800","415"
"141","141","Prayer potion(2)","True","114","5241","22","5020","43","5094","65"
"143","143","Prayer potion(1)","True","76","2469","3","2417","26","2422","29"
"145","145","Super attack(3)","True","180","165","1029","175","214","166","1243"
"147","147","Super attack(2)","True","135","0","0","0","0","0","0"
"149","149","Super attack(1)","True","90","0","0","70","1","70","1"
"151","151","Fishing potion(3)","True","200","0","0","0","0","0","0"
"153","153","Fishing potion(2)","True","150","0","0","0","0","0","0"
"155","155","Fishing potion(1)","True","100","0","0","0","0","0","0"
"157","157","Super strength(3)","True","220","862","161","822","2","861","163"
"159","159","Super strength(2)","True","165","0","0","531","1","531","1"
"161","161","Super strength(1)","True","110","0","0","304","2","304","2"
"163","163","Super defence(3)","True","264","455","771","450","1","455","772"
"165","165","Super defence(2)","True","198","0","0","0","0","0","0"
"167","167","Super defence(1)","True","132","288","4","288","1","288","5"
"169","169","Ranging potion(3)","True","288","531","171","523","77","528","248"
"171","171","Ranging potion(2)","True","216","490","150","412","72","464","222"
"173","173","Ranging potion(1)","True","144","210","80","207","34","209","114"
"175","175","Antipoison(3)","False","288","189","1","113","1","151","2"
"177","177","Antipoison(2)","False","216","0","0","0","0","0","0"
"179","179","Antipoison(1)","False","144","0","0","0","0","0","0"
"181","181","Superantipoison(3)","True","288","0","0","177","160","177","160"
"183","183","Superantipoison(2)","True","216","0","0","0","0","0","0"
"185","185","Superantipoison(1)","True","144","0","0","41","1","41","1"
"187","187","Weapon poison","True","144","0","0","125","1","125","1"
"189","189","Zamorak brew(3)","True","175","0","0","0","0","0","0"
"191","191","Zamorak brew(2)","True","150","0","0","0","0","0","0"
"193","193","Zamorak brew(1)","True","125","0","0","0","0","0","0"
"197","197","Poison chalice","True","20","0","0","0","0","0","0"
"199","199","Grimy guam leaf","True","13","24","12","20","144","20","156"
"201","201","Grimy marrentill","True","14","24","1","21","112","21","113"
"203","203","Grimy tarromin","True","15","163","1398","154","180","162","1578"
"205","205","Grimy harralander","True","16","692","1","680","394","680","395"
"207","207","Grimy ranarr weed","True","30","7899","386","7870","640","7881","1026"
"209","209","Grimy irit leaf","True","17","868","2","850","717","850","719"
"211","211","Grimy avantoe","True","18","2024","802","2010","297","2020","1099"
"213","213","Grimy kwuarm","True","20","1192","1","1192","355","1192","356"
"215","215","Grimy cadantine","True","22","1475","1","1433","889","1433","890"
"217","217","Grimy dwarf weed","True","24","510","589","514","501","512","1090"
"219","219","Grimy torstol","True","25","7500","370","7494","68","7499","438"
"221","221","Eye of newt","False","3","4","938","0","0","4","938"
"223","223","Red spiders' eggs","False","7","95","1291","93","500","94","1791"
"225","225","Limpwurt root","False","7","782","145","764","1182","766","1327"
"8417","8417","Bagged dead tree","True","1000","921","1","921","1","921","2"
"227","227","Vial of water","False","2","4","25215","0","0","4","25215"
"8419","8419","Bagged nice tree","True","2000","3003","4","0","0","3003","4"
"229","229","Vial","False","2","2","999","1","222817","1","223816"
"8421","8421","Bagged oak tree","True","5000","6000","1","0","0","6000","1"
"231","231","Snape grass","True","10","93","5759","89","3881","91","9640"
"8423","8423","Bagged willow tree","True","10000","11958","1","11958","9","11958","10"
"233","233","Pestle and mortar","True","4","498","6","300","1","469","7"
"8425","8425","Bagged maple tree","True","15000","0","0","0","0","0","0"
"235","235","Unicorn horn dust","True","20","300","763","299","2387","299","3150"
"8427","8427","Bagged yew tree","True","20000","0","0","0","0","0","0"
"237","237","Unicorn horn","True","20","235","288","242","34","236","322"
"8429","8429","Bagged magic tree","True","50000","0","0","0","0","0","0"
"239","239","White berries","True","10","308","100","303","601","303","701"
"8431","8431","Bagged plant 1","True","1000","0","0","0","0","0","0"
"241","241","Dragon scale dust","True","52","194","1","0","0","194","1"
"8433","8433","Bagged plant 2","True","5000","0","0","0","0","0","0"
"243","243","Blue dragon scale","True","50","0","0","0","0","0","0"
"8435","8435","Bagged plant 3","True","10000","12000","1","0","0","12000","1"
"245","245","Wine of zamorak","False","1","1819","1","1808","2103","1808","2104"
"8437","8437","Thorny hedge","True","5000","0","0","0","0","0","0"
"247","247","Jangerberries","True","1","0","0","0","0","0","0"
"8439","8439","Nice hedge","True","10000","0","0","0","0","0","0"
"249","249","Guam leaf","True","3","36","3","28","384","28","387"
"8441","8441","Small box hedge","True","15000","0","0","0","0","0","0"
"251","251","Marrentill","True","5","39","23","38","1","38","24"
"8443","8443","Topiary hedge","True","20000","34000","1","0","0","34000","1"
"253","253","Tarromin","True","11","183","2","180","1307","180","1309"
"8445","8445","Fancy hedge","True","25000","0","0","0","0","0","0"
"255","255","Harralander","True","20","661","630","673","629","667","1259"
"8447","8447","Tall fancy hedge","True","50000","0","0","0","0","0","0"
"257","257","Ranarr weed","True","25","7990","11048","7985","500","7989","11548"
"8449","8449","Tall box hedge","True","100000","124167","4","100200","3","113895","7"
"259","259","Irit leaf","True","40","880","1","843","7","848","8"
"8451","8451","Bagged flower","True","5000","0","0","0","0","0","0"
"261","261","Avantoe","True","48","2124","2","2094","70","2094","72"
"8453","8453","Bagged daffodils","True","10000","0","0","0","0","0","0"
"263","263","Kwuarm","True","54","0","0","1180","6","1180","6"
"8455","8455","Bagged bluebells","True","15000","49000","2","0","0","49000","2"
"265","265","Cadantine","True","65","0","0","1490","27","1490","27"
"8457","8457","Bagged sunflower","True","5000","0","0","0","0","0","0"
"267","267","Dwarf weed","True","70","0","0","508","211","508","211"
"8459","8459","Bagged marigolds","True","10000","0","0","0","0","0","0"
"269","269","Torstol","True","75","0","0","7531","62","7531","62"
"8461","8461","Bagged roses","True","15000","15000","2","0","0","15000","2"
"272","272","Fish food","False","1","0","0","0","0","0","0"
"273","273","Poison","False","1","0","0","0","0","0","0"
"288","288","Goblin mail","False","40","394","4","0","0","394","4"
"299","299","Mithril seeds","True","200","0","0","107","40","107","40"
"301","301","Lobster pot","False","20","149","3","0","0","149","3"
"303","303","Small fishing net","False","5","60","27","43","3","58","30"
"8496","8496","Crude chair","True","10","0","0","0","0","0","0"
"305","305","Big fishing net","True","20","282","2","0","0","282","2"
"8498","8498","Wooden chair","True","10","0","0","0","0","0","0"
"307","307","Fishing rod","False","5","100","2","0","0","100","2"
"8500","8500","Rocking chair","True","10","0","0","0","0","0","0"
"309","309","Fly fishing rod","False","5","122","1","122","1","122","2"
"8502","8502","Oak chair","True","10","0","0","0","0","0","0"
"311","311","Harpoon","False","5","0","0","0","0","0","0"
"8504","8504","Oak armchair","True","10","0","0","0","0","0","0"
"313","313","Fishing bait","False","3","4","24131","4","11","4","24142"
"314","314","Feather","False","2","2","416995","2","17798","2","434793"
"8506","8506","Teak armchair","True","10","0","0","0","0","0","0"
"315","315","Shrimps","False","5","0","0","23","29","23","29"
"8508","8508","Mahogany armchair","True","10","0","0","0","0","0","0"
"317","317","Raw shrimps","False","5","49","560","35","115","47","675"
"8510","8510","Bookcase","True","10","0","0","0","0","0","0"
"319","319","Anchovies","False","15","0","0","0","0","0","0"
"8512","8512","Oak bookcase","True","10","0","0","0","0","0","0"
"321","321","Raw anchovies","False","15","0","0","59","3","59","3"
"8514","8514","Mahogany bookcase","True","10","0","0","0","0","0","0"
"8516","8516","Beer barrel","True","10","0","0","0","0","0","0"
"325","325","Sardine","False","10","0","0","20","98","20","98"
"8518","8518","Cider barrel","True","10","0","0","0","0","0","0"
"327","327","Raw sardine","False","10","0","0","0","0","0","0"
"8520","8520","Asgarnian ale","True","10","0","0","0","0","0","0"
"329","329","Salmon","False","30","47","1120","45","157","47","1277"
"8522","8522","Greenman's ale","True","10","0","0","0","0","0","0"
"331","331","Raw salmon","False","30","0","0","36","26","36","26"
"8524","8524","Dragon bitter","True","10","0","0","0","0","0","0"
"333","333","Trout","False","10","21","20","20","344","20","364"
"8526","8526","Chef's delight","True","10","0","0","0","0","0","0"
"335","335","Raw trout","False","10","18","1400","17","1747","17","3147"
"8528","8528","Kitchen table","True","10","0","0","0","0","0","0"
"8530","8530","Oak kitchen table","True","10","0","0","0","0","0","0"
"339","339","Cod","True","10","0","0","0","0","0","0"
"8532","8532","Teak kitchen table","True","10","0","0","0","0","0","0"
"341","341","Raw cod","True","10","46","2","0","0","46","2"
"345","345","Raw herring","False","10","35","100","0","0","35","100"
"347","347","Herring","False","10","0","0","9","105","9","105"
"349","349","Raw pike","False","20","0","0","60","36","60","36"
"351","351","Pike","False","20","0","0","0","0","0","0"
"353","353","Raw mackerel","True","15","0","0","22","20","22","20"
"355","355","Mackerel","True","15","0","0","0","0","0","0"
"8548","8548","Wood dining table","True","10","0","0","0","0","0","0"
"8550","8550","Oak dining table","True","10","0","0","0","0","0","0"
"359","359","Raw tuna","False","40","47","16990","49","24","47","17014"
"8552","8552","Carved oak table","True","10","0","0","0","0","0","0"
"361","361","Tuna","False","40","109","2641","101","326","108","2967"
"8554","8554","Teak table","True","10","0","0","0","0","0","0"
"363","363","Raw bass","True","40","0","0","0","0","0","0"
"8556","8556","Carved teak table","True","10","0","0","0","0","0","0"
"365","365","Bass","True","40","170","200","156","14","169","214"
"8558","8558","Mahogany table","True","10","0","0","0","0","0","0"
"8560","8560","Opulent table","True","10","0","0","0","0","0","0"
"8562","8562","Wooden bench","True","10","0","0","0","0","0","0"
"371","371","Raw swordfish","False","80","201","17256","193","10","201","17266"
"8564","8564","Oak bench","True","10","0","0","0","0","0","0"
"373","373","Swordfish","False","80","233","9304","228","199","233","9503"
"8566","8566","Carved oak bench","True","10","0","0","0","0","0","0"
"8568","8568","Teak dining bench","True","10","0","0","0","0","0","0"
"377","377","Raw lobster","False","70","168","5004","165","224","168","5228"
"8570","8570","Carved teak bench","True","10","0","0","0","0","0","0"
"379","379","Lobster","False","70","123","10048","126","614","123","10662"
"8572","8572","Mahogany bench","True","10","0","0","0","0","0","0"
"8574","8574","Gilded bench","True","10","0","0","0","0","0","0"
"383","383","Raw shark","True","170","615","10010","614","850","614","10860"
"8576","8576","Wooden bed","True","10","0","0","0","0","0","0"
"385","385","Shark","True","170","779","12537","766","2556","777","15093"
"8578","8578","Oak bed","True","10","0","0","0","0","0","0"
"8580","8580","Large oak bed","True","10","0","0","0","0","0","0"
"389","389","Raw manta ray","True","200","0","0","1040","96","1040","96"
"8582","8582","Teak bed","True","10","0","0","0","0","0","0"
"391","391","Manta ray","True","200","1010","3139","999","9363","1002","12502"
"8584","8584","Large teak bed","True","10","0","0","0","0","0","0"
"8586","8586","Four-poster bed","True","10","0","0","0","0","0","0"
"395","395","Raw sea turtle","True","200","0","0","750","148","750","148"
"8588","8588","Gilded four-poster","True","10","0","0","0","0","0","0"
"397","397","Sea turtle","True","200","0","0","951","298","951","298"
"8590","8590","Oak clock","True","10","0","0","0","0","0","0"
"8592","8592","Teak clock","True","10","0","0","0","0","0","0"
"401","401","Seaweed","True","2","61","1","60","626","60","627"
"8594","8594","Gilded clock","True","10","0","0","0","0","0","0"
"403","403","Edible seaweed","True","2","0","0","0","0","0","0"
"8596","8596","Shaving stand","True","10","0","0","0","0","0","0"
"405","405","Casket","True","50","0","0","0","0","0","0"
"8598","8598","Oak shaving stand","True","10","0","0","0","0","0","0"
"407","407","Oyster","True","200","0","0","0","0","0","0"
"8600","8600","Oak dresser","True","10","0","0","0","0","0","0"
"8602","8602","Teak dresser","True","10","0","0","0","0","0","0"
"411","411","Oyster pearl","True","112","0","0","0","0","0","0"
"8604","8604","Fancy teak dresser","True","10","0","0","0","0","0","0"
"413","413","Oyster pearls","True","1400","0","0","0","0","0","0"
"8606","8606","Mahogany dresser","True","10","0","0","0","0","0","0"
"8608","8608","Gilded dresser","True","10","0","0","0","0","0","0"
"8610","8610","Shoe box","True","10","0","0","0","0","0","0"
"8612","8612","Oak drawers","True","10","0","0","0","0","0","0"
"8614","8614","Oak wardrobe","True","10","0","0","0","0","0","0"
"8616","8616","Teak drawers","True","10","0","0","0","0","0","0"
"426","426","Priest gown","False","5","27","1","0","0","27","1"
"8618","8618","Teak wardrobe","True","10","0","0","0","0","0","0"
"428","428","Priest gown","False","5","16","1","0","0","16","1"
"8620","8620","Mahogany wardrobe","True","10","0","0","0","0","0","0"
"8622","8622","Gilded wardrobe","True","10","0","0","0","0","0","0"
"8624","8624","Crystal ball","True","10","0","0","0","0","0","0"
"434","434","Clay","False","1","45","26006","43","14","44","26020"
"8626","8626","Elemental sphere","True","10","0","0","0","0","0","0"
"436","436","Copper ore","False","3","90","4","76","5","82","9"
"8628","8628","Crystal of power","True","10","0","0","0","0","0","0"
"438","438","Tin ore","False","3","0","0","101","29","101","29"
"440","440","Iron ore","False","17","76","140395","75","11149","76","151544"
"442","442","Silver ore","False","75","0","0","60","1532","60","1532"
"444","444","Gold ore","False","150","315","150","310","23545","310","23695"
"447","447","Mithril ore","False","162","139","13000","137","24200","138","37200"
"449","449","Adamantite ore","False","400","1175","989","1171","4077","1172","5066"
"451","451","Runite ore","False","3200","11298","3301","11265","4603","11279","7904"
"453","453","Coal","False","45","140","38243","138","52119","139","90362"
"464","464","Strange fruit","True","1","355","6","280","13","303","19"
"526","526","Bones","False","1","49","28","44","48","46","76"
"528","528","Burnt bones","False","1","0","0","0","0","0","0"
"530","530","Bat bones","True","1","269","2","0","0","269","2"
"532","532","Big bones","False","1","214","1","211","1020","211","1021"
"534","534","Babydragon bones","True","1","0","0","705","784","705","784"
"536","536","Dragon bones","True","160","2239","11241","2235","15859","2237","27100"
"538","538","Druid's robe","True","30","0","0","0","0","0","0"
"540","540","Druid's robe top","True","40","0","0","0","0","0","0"
"542","542","Monk's robe","False","30","199","12","126","5","177","17"
"544","544","Monk's robe top","False","40","370","12","0","0","370","12"
"546","546","Shade robe top","False","40","1130","1","0","0","1130","1"
"548","548","Shade robe","False","30","582","1","612","2","602","3"
"554","554","Fire rune","False","4","5","310605","4","58798","4","369403"
"555","555","Water rune","False","4","5","92190","4","54880","4","147070"
"556","556","Air rune","False","4","5","113957","4","29462","4","143419"
"557","557","Earth rune","False","4","5","89510","4","47867","4","137377"
"558","558","Mind rune","False","3","4","22100","3","13351","3","35451"
"559","559","Body rune","False","3","4","1000","3","3322","3","4322"
"560","560","Death rune","False","180","209","131915","209","145922","209","277837"
"561","561","Nature rune","False","180","208","142576","207","71667","207","214243"
"562","562","Chaos rune","False","90","78","84230","76","113151","77","197381"
"563","563","Law rune","False","240","176","60637","174","37906","175","98543"
"564","564","Cosmic rune","False","50","138","21736","136","8810","138","30546"
"565","565","Blood rune","True","400","338","100597","334","304250","335","404847"
"566","566","Soul rune","True","300","147","71000","146","32356","146","103356"
"567","567","Unpowered orb","True","100","96","10423","94","9987","95","20410"
"569","569","Fire orb","True","300","0","0","0","0","0","0"
"571","571","Water orb","True","300","0","0","0","0","0","0"
"573","573","Air orb","True","300","1349","3890","1344","1699","1347","5589"
"575","575","Earth orb","True","300","0","0","1126","3300","1126","3300"
"577","577","Blue wizard robe","False","15","1971","13","1823","4","1936","17"
"579","579","Blue wizard hat","False","2","500","2","365","1","455","3"
"581","581","Black robe","False","13","0","0","0","0","0","0"
"8778","8778","Oak plank","True","250","401","13420","396","132","400","13552"
"8780","8780","Teak plank","True","500","865","422","860","195","863","617"
"590","590","Tinderbox","False","1","35","5","26","2","32","7"
"8782","8782","Mahogany plank","True","1500","2033","8649","2108","24192","2088","32841"
"592","592","Ashes","False","2","30","6","29","363","29","369"
"8784","8784","Gold leaf","True","100000","134000","5","130683","5","132341","10"
"8786","8786","Marble block","True","250000","329778","6","0","0","329778","6"
"596","596","Unlit torch","True","4","0","0","3","30","3","30"
"8788","8788","Magic stone","True","750000","987260","2","0","0","987260","2"
"8790","8790","Bolt of cloth","True","500","1434","40","0","0","1434","40"
"8792","8792","Clockwork","True","500","1200","8","1000","119","1012","127"
"8794","8794","Saw","True","10","284","5","217","1","272","6"
"621","621","Ship ticket","True","5","0","0","0","0","0","0"
"626","626","Pink boots","True","200","0","0","0","0","0","0"
"628","628","Green boots","True","200","389","1","0","0","389","1"
"630","630","Blue boots","True","200","587","1","0","0","587","1"
"632","632","Cream boots","True","200","0","0","0","0","0","0"
"634","634","Turquoise boots","True","200","0","0","570","13","570","13"
"636","636","Pink robe top","True","180","0","0","0","0","0","0"
"638","638","Green robe top","True","180","539","1","539","1","539","2"
"640","640","Blue robe top","True","180","0","0","0","0","0","0"
"642","642","Cream robe top","True","180","0","0","0","0","0","0"
"644","644","Turquoise robe top","True","180","0","0","0","0","0","0"
"8837","8837","Timber beam","True","1","0","0","0","0","0","0"
"646","646","Pink robe bottoms","True","180","0","0","0","0","0","0"
"648","648","Green robe bottoms","True","180","0","0","0","0","0","0"
"650","650","Blue robe bottoms","True","180","0","0","0","0","0","0"
"652","652","Cream robe bottoms","True","180","0","0","0","0","0","0"
"654","654","Turquoise robe bottoms","True","180","0","0","0","0","0","0"
"656","656","Pink hat","True","160","0","0","0","0","0","0"
"658","658","Green hat","True","160","0","0","0","0","0","0"
"660","660","Blue hat","True","160","0","0","400","1","400","1"
"662","662","Cream hat","True","160","0","0","894","2","894","2"
"664","664","Turquoise hat","True","160","0","0","0","0","0","0"
"8872","8872","Bone dagger","True","2000","0","0","0","0","0","0"
"8874","8874","Bone dagger (p)","True","2000","0","0","0","0","0","0"
"8876","8876","Bone dagger (p+)","True","2000","0","0","0","0","0","0"
"8878","8878","Bone dagger (p++)","True","2000","0","0","0","0","0","0"
"8880","8880","Dorgeshuun crossbow","True","2000","0","0","0","0","0","0"
"8882","8882","Bone bolts","True","3","5","47999","0","0","5","47999"
"8901","8901","Black mask (10)","True","3000","852590","3","860000","1","854442","4"
"8921","8921","Black mask","True","3000","870192","2","865019","2","867606","4"
"8924","8924","Bandana eyepatch","True","100","0","0","0","0","0","0"
"8925","8925","Bandana eyepatch","True","100","0","0","0","0","0","0"
"8926","8926","Bandana eyepatch","True","100","0","0","0","0","0","0"
"8927","8927","Bandana eyepatch","True","100","0","0","0","0","0","0"
"8928","8928","Hat eyepatch","True","100","0","0","0","0","0","0"
"751","751","Gnomeball","True","1","0","0","0","0","0","0"
"753","753","Cadava berries","False","1","250","17","150","9","215","26"
"800","800","Bronze thrownaxe","True","3","0","0","0","0","0","0"
"801","801","Iron thrownaxe","True","7","0","0","0","0","0","0"
"802","802","Steel thrownaxe","True","26","0","0","0","0","0","0"
"803","803","Mithril thrownaxe","True","70","0","0","0","0","0","0"
"804","804","Adamant thrownaxe","True","176","0","0","0","0","0","0"
"805","805","Rune thrownaxe","True","440","209","2","206","91","206","93"
"806","806","Bronze dart","True","1","13","1000","1","10706","2","11706"
"807","807","Iron dart","True","2","5","500","3","280","4","780"
"808","808","Steel dart","True","10","4","13000","3","97","4","13097"
"809","809","Mithril dart","True","25","8","11633","8","64","8","11697"
"810","810","Adamant dart","True","65","98","95827","98","43663","98","139490"
"811","811","Rune dart","True","350","1037","9822","1027","3694","1034","13516"
"9003","9003","Security book","False","2","0","0","0","0","0","0"
"812","812","Bronze dart(p)","True","1","0","0","0","0","0","0"
"9004","9004","Stronghold notes","False","2","0","0","0","0","0","0"
"813","813","Iron dart(p)","True","2","0","0","0","0","0","0"
"814","814","Steel dart(p)","True","10","0","0","0","0","0","0"
"815","815","Mithril dart(p)","True","25","0","0","0","0","0","0"
"816","816","Adamant dart(p)","True","65","0","0","100","112","100","112"
"817","817","Rune dart(p)","True","350","0","0","1010","54","1010","54"
"819","819","Bronze dart tip","True","1","0","0","0","0","0","0"
"820","820","Iron dart tip","True","3","29","3000","0","0","29","3000"
"821","821","Steel dart tip","True","5","49","4000","0","0","49","4000"
"822","822","Mithril dart tip","True","12","68","26000","0","0","68","26000"
"823","823","Adamant dart tip","True","36","199","77001","202","1","199","77002"
"824","824","Rune dart tip","True","175","1245","1","1239","12108","1239","12109"
"825","825","Bronze javelin","True","4","0","0","0","0","0","0"
"826","826","Iron javelin","True","6","0","0","0","0","0","0"
"827","827","Steel javelin","True","24","0","0","0","0","0","0"
"828","828","Mithril javelin","True","64","0","0","0","0","0","0"
"829","829","Adamant javelin","True","160","0","0","63","390","63","390"
"830","830","Rune javelin","True","400","165","62513","177","67427","171","129940"
"831","831","Bronze javelin(p)","True","4","0","0","0","0","0","0"
"832","832","Iron javelin(p)","True","6","0","0","0","0","0","0"
"833","833","Steel javelin(p)","True","24","0","0","0","0","0","0"
"834","834","Mithril javelin(p)","True","64","0","0","0","0","0","0"
"9026","9026","Ivory comb","True","10","0","0","0","0","0","0"
"835","835","Adamant javelin(p)","True","160","0","0","0","0","0","0"
"836","836","Rune javelin(p)","True","400","0","0","0","0","0","0"
"9028","9028","Golden scarab","True","30","0","0","0","0","0","0"
"837","837","Crossbow","False","70","0","0","0","0","0","0"
"9030","9030","Stone scarab","True","20","0","0","0","0","0","0"
"839","839","Longbow","False","80","0","0","0","0","0","0"
"9032","9032","Pottery scarab","True","10","0","0","0","0","0","0"
"841","841","Shortbow","False","50","50","2","30","6","35","8"
"9034","9034","Golden statuette","True","30","0","0","0","0","0","0"
"843","843","Oak shortbow","False","100","0","0","37","1","37","1"
"9036","9036","Pottery statuette","True","10","0","0","0","0","0","0"
"845","845","Oak longbow","False","160","56","334","0","0","56","334"
"9038","9038","Stone statuette","True","20","0","0","0","0","0","0"
"847","847","Willow longbow","False","320","0","0","148","1","148","1"
"9040","9040","Gold seal","True","30","761","4","746","2","756","6"
"849","849","Willow shortbow","False","200","98","1","97","1","97","2"
"9042","9042","Stone seal","True","20","0","0","0","0","0","0"
"851","851","Maple longbow","False","640","256","941","0","0","256","941"
"9044","9044","Pharaoh's sceptre (3)","True","83334","3881777","3","3807656","2","3852128","5"
"853","853","Maple shortbow","False","400","204","18","201","12","202","30"
"855","855","Yew longbow","True","1280","552","43803","555","22387","553","66190"
"857","857","Yew shortbow","True","800","315","2","312","1","314","3"
"9050","9050","Pharaoh's sceptre","True","83334","0","0","3807564","1","3807564","1"
"859","859","Magic longbow","True","2560","1331","13488","1328","20854","1329","34342"
"9052","9052","Locust meat","True","1","0","0","0","0","0","0"
"861","861","Magic shortbow","True","1600","808","408","800","111","806","519"
"863","863","Iron knife","True","3","0","0","31","1195","31","1195"
"864","864","Bronze knife","True","1","0","0","0","0","0","0"
"865","865","Steel knife","True","11","0","0","38","2","38","2"
"866","866","Mithril knife","True","27","0","0","119","49","119","49"
"867","867","Adamant knife","True","66","0","0","288","78","288","78"
"868","868","Rune knife","True","167","0","0","229","389","229","389"
"869","869","Black knife","True","19","0","0","33","1503","33","1503"
"870","870","Bronze knife(p)","True","1","0","0","0","0","0","0"
"871","871","Iron knife(p)","True","3","0","0","0","0","0","0"
"872","872","Steel knife(p)","True","10","0","0","0","0","0","0"
"873","873","Mithril knife(p)","True","27","0","0","0","0","0","0"
"874","874","Black knife(p)","True","18","0","0","0","0","0","0"
"875","875","Adamant knife(p)","True","66","0","0","0","0","0","0"
"876","876","Rune knife(p)","True","166","0","0","207","1","207","1"
"877","877","Bronze bolts","False","0","0","0","0","0","0","0"
"878","878","Bronze bolts (p)","True","0","0","0","0","0","0","0"
"879","879","Opal bolts","True","7","0","0","0","0","0","0"
"880","880","Pearl bolts","True","13","0","0","0","0","0","0"
"881","881","Barbed bolts","True","200","0","0","0","0","0","0"
"882","882","Bronze arrow","False","1","5","2200","4","1086","4","3286"
"9075","9075","Astral rune","True","50","148","76010","149","45309","148","121319"
"883","883","Bronze arrow(p)","True","1","0","0","0","0","0","0"
"884","884","Iron arrow","False","3","6","13000","5","19572","5","32572"
"885","885","Iron arrow(p)","True","3","0","0","0","0","0","0"
"886","886","Steel arrow","False","12","32","42456","31","7843","32","50299"
"887","887","Steel arrow(p)","True","12","0","0","0","0","0","0"
"888","888","Mithril arrow","False","32","23","10772","21","8149","22","18921"
"889","889","Mithril arrow(p)","True","32","0","0","0","0","0","0"
"890","890","Adamant arrow","False","80","67","24300","65","1894","67","26194"
"891","891","Adamant arrow(p)","True","80","0","0","0","0","0","0"
"892","892","Rune arrow","True","400","78","14521","75","14222","76","28743"
